product,call_id,dna_version,robocat_version,robocat,call_recording_duration,feature_version,agent_ring_count,agent_speech_duration,agent_speech_ratio,agent_first_half_speech_ratio,agent_spoke_first,agent_first_speech_time,agent_speech_duration_before_ring,agent_speech_duration_after_ring,agent_silence_duration,agent_silence_ratio,caller_ring_count,caller_speech_duration,caller_speech_ratio,caller_first_half_speech_ratio,caller_spoke_first,caller_first_speech_time,caller_speech_duration_before_ring,caller_speech_duration_after_ring,caller_silence_duration,caller_silence_ratio,analyzed_call_duration,conversation_switch_count,overlapping_speech_count,overlapping_speech_duration,overlapping_silence_count,overlapping_silence_duration,estimated_hold_time_duration
PFC,100000049161076,2,2,Hangup,117.603265,4,7,69.46211703,0.590647862,0.77144405,TRUE,0.2195,20.14421703,0,39.03185092,0.33189428,0,0.97778,0.008314225,0.01662845,FALSE,5.87664,,,116.625485,0.991685775,117.603265,2,1,0.97778,18,39.03185092,
PFC,100000049072562,2,2,Conversation,1284.127347,4,7,426.1320127,0.331845602,0.371957087,TRUE,0.2195,21.68073,137.97681,848.7205791,0.660931785,0,356.21092,0.277395323,0.202634716,FALSE,0.31927,,,927.916427,0.722604677,1284.127347,119,29,23.81608,211,516.9942213,
PFC,100000049352375,2,2,Unknown,219.846531,4,3,147.58459,0.67130734,0.734599497,TRUE,0.22948,21.64082,12.03265,67.89187297,0.308814848,0,10.06711,0.045791534,0.021420761,FALSE,78.51157,,,209.779421,0.954208466,219.846531,16,2,1.35692,37,59.18168297,
PFC,100000049334544,2,2,Unknown,188.551837,4,1,132.5986476,0.70324771,0.740608071,TRUE,0.22948,21.64081764,110.95783,53.97767915,0.286275011,0,11.95284,0.063392859,0.012276412,FALSE,86.60317,,,176.598997,0.936607141,188.551837,20,2,0.71837,33,42.74320915,
PFC,100000049276892,2,2,Unknown,141.635918,4,1,103.6943373,0.732118934,0.779104595,TRUE,0.22948,18.43808726,85.25625,35.96607054,0.253933261,0,3.49207,0.024655257,0,FALSE,99.63356,,,138.143848,0.975344743,141.635918,2,0,0,21,32.47400054,
PFC,100000049266850,2,2,Unknown,215.666939,4,4,139.4630769,0.646659509,0.750842825,TRUE,0.22948,36.39728687,11.62361,71.10835451,0.329713747,0,9.07939,0.042099128,0,FALSE,108.96236,,,206.587549,0.957900872,215.666939,14,1,2.27483,38,64.30379451,
PFC,100000049312288,2,2,Unknown,159.973878,4,5,97.49841,0.609464565,0.755765376,TRUE,0.2195,21.6508,0,55.80063807,0.348810936,0,4.0907,0.02557105,0.04602789,FALSE,32.80544,,,155.883178,0.97442895,159.973878,8,1,0.06984,25,51.77977807,
PFC,100000049271564,2,2,Abandoned,1642.997551,4,6,339.9271255,0.206894481,0.354240985,TRUE,0.2195,7.63265,163.58794,1297.233691,0.789553028,0,158.42001,0.096421331,0.127829308,FALSE,72.95419,,,1484.577541,0.903578669,1642.997551,96,15,9.47841,175,1148.292091,
PFC,100000049112966,2,2,Unknown,144.927347,4,8,79.49932519,0.54854606,0.773229068,TRUE,0.22948,15.52472519,0,55.19128711,0.380820378,0,22.81815,0.157445441,0.282809427,FALSE,0.45896,,,122.109197,0.842554559,144.927347,17,9,12.22222,23,45.09422711,
PFC,100000049252195,2,2,Conversation,251.768163,4,6,138.0263149,0.548227835,0.7020692,TRUE,0.22948,15.1455849,16.11337,105.799898,0.420227469,0,16.64219,0.066101249,0.038281647,FALSE,79.64898,,,235.125973,0.933898751,251.768163,20,1,0.69841,42,89.85611799,
PFC,100000049332960,2,2,Conversation,540.786939,4,4,179.54207,0.332001491,0.446141949,TRUE,0.2195,7.62268,89.59649,355.6675447,0.65768516,0,137.39777,0.25407006,0.195676989,FALSE,17.88934,,,403.389169,0.74592994,540.786939,78,21,20.63322,108,239.3120607,
